Player,PPG,APG,RPG,SPG,BPG,G
Steven Adams 19 20,10.9,2.3,9.3,0.8,1.1,63
Bam Adebayo 19 20,15.9,5.1,10.2,1.1,1.3,72
LaMarcus Aldridge 19 20,18.9,2.4,7.4,0.7,1.6,53
Kyle Alexander 19 20,1,0,1.5,0,0,2
Nickeil Alexander-Walker 19 20,5.7,1.9,1.8,0.4,0.2,47
Grayson Allen 19 20,8.7,1.4,2.2,0.3,0.1,38
Jarrett Allen 19 20,11.1,1.6,9.6,0.6,1.3,70
Kadeem Allen 19 20,5,2.1,0.9,0.5,0.2,10
Al-Farouq Aminu 19 20,4.3,1.2,4.8,1,0.4,18
Justin Anderson 19 20,2.8,0.8,2.1,0,0.6,10
Kyle Anderson 19 20,5.8,2.4,4.3,0.8,0.6,67
Ryan Anderson 19 20,2.5,1,3.5,0.5,0,2
Giannis Antetokounmpo 19 20,29.5,5.6,13.6,1,1,63
Kostas Antetokounmpo 19 20,1.4,0.4,0.6,0,0,5
Thanasis Antetokounmpo 19 20,2.8,0.8,1.2,0.4,0.1,20
Carmelo Anthony 19 20,15.4,1.5,6.3,0.8,0.5,58
OG Anunoby 19 20,10.6,1.6,5.3,1.4,0.7,69
Ryan Arcidiacono 19 20,4.5,1.7,1.9,0.5,0.1,58
Trevor Ariza 19 20,8,1.7,4.6,1.3,0.3,53
Trevor Ariza 19 20,6,1.6,4.6,1.1,0.2,32
Trevor Ariza 19 20,11,2,4.8,1.6,0.4,21
D.J. Augustin 19 20,10.5,4.6,2.1,0.6,0,57
Deandre Ayton 19 20,18.2,1.9,11.5,0.7,1.5,38
Dwayne Bacon 19 20,5.7,1.3,2.6,0.6,0.1,39
Marvin Bagley III 19 20,14.2,0.8,7.5,0.5,0.9,13
Lonzo Ball 19 20,11.8,7,6.1,1.4,0.6,63
Mo Bamba 19 20,5.4,0.7,4.9,0.4,1.4,62
J.J. Barea 19 20,7.7,3.9,1.8,0.2,0.1,29
Harrison Barnes 19 20,14.5,2.2,4.9,0.6,0.2,72
RJ Barrett 19 20,14.3,2.6,5,1,0.3,56
Will Barton 19 20,15.1,3.7,6.3,1.1,0.5,58
Keita Bates-Diop 19 20,6.5,0.7,2.9,0.4,0.5,44
Keita Bates-Diop 19 20,6.8,0.8,3,0.5,0.5,37
Keita Bates-Diop 19 20,5.3,0,2.4,0.3,0.6,7
Nicolas Batum 19 20,3.6,3,4.5,0.8,0.4,22
Aron Baynes 19 20,11.5,1.6,5.6,0.2,0.5,42
